,itemname,content,region,price
14,아이패드 키보드 케이스/아이패드프로 4세대 11인치,"아이패드 프로 11인치 전용 키보드 케이스 입니다 ~
완전 접혀서 책보기도 편합니다~ 거의 노트북처럼 사용할수있어요 ! 맥북에서 사용하는 커맨드도 거의 지원합니다 ☺️
생활기스는 있구요 ~ 사용한지 채 몇달 안됬어요 
배터리가 꽤오래가서 한번충천하면 저같은경우 2주정도 사용하는것같아요
C타입이라 충전도 편리합니다 ~
사진처럼 자판은 영문이지만 하루면 익숙해져서 사용할때 불편함 전혀 못느꼈어요 ~
전체적으로 잘 보호되서 아이패드 기스걱정 안해도 됩니다 !
아 ! 그리고 옆쪽으로 애플펜슬을 보관할수있도록 되어있어서 펜슬도 분실걱정없이 사용할수있어요 ! 
자판에 백라이트 기능 있어서 밤에도 사용하기 아주 좋아요 ! 터치패드도 있어서 정말 유용합니다 ~
맥북에어 m1 이번에 새로 구입하면서 아이패드로 키보드의 사용도가 줄어들어서 판매합니다 ~ 
아이패드 신품으로 사고 최근 몇달간 정말 유용하게 사용했어요 😊 카페에 따로 노트북없이 요놈 하나면 키보드랑 마우스 기능까지 다 사용가능하다보니까 활용도가 아주아주 뛰어났습니다 ~ 궁금하신점은 문의주세여 ~",경기도 포천시 소흘읍,"43,000원"
15,"아이패드 7세대, 10.2인치 (iPad 7th generation, 10.2 inch,32gb,Wifi)","긁힌 자국이 없고, 장치가 깨끗하고 상태가 좋습니다. 색상은 로즈 골드입니다. 안드로이드 기기로 옮길 거니까 팔아요. 
There is no scratches, the device is clean and in a good condition. Color is rose gold. I am gonna move to android devices so I sell it.",강원도 춘천시 효자동,"320,000원"
16,[미개봉] 애플 아이패드 프로 11형(2세대) 256G 셀룰러(iPad Pro 11 256G Cellular),"[미개봉] 애플 아이패드 프로 11형(2세대) 256G 와이파이+ 셀룰러(iPad Pro 11 256G Cellular)
스페이스 그레이 미개봉 판매합니다",경기도 용인시 수지구 풍덕천2동,"1,000,000원"
17,인강용/업무용 추천 아이패드 iPad 8세대 셀룰러 LTE 32GB 골드 신품 미개봉 팝니다,"인강용/업무용 추천 아이패드 iPad 8세대 셀룰러 LTE 32GB 골드 신품 미개봉 팝니다

국내 정식발매된 제품입니다.
데이터함께쓰기 유심 등으로 와이파이 안된 곳에서도 인터넷 사용이 가능해요 그리고 셀룰러모델엔 자체 GPS가 있어 네비게이션도 됩니다.

애플펜슬 사용가능한 모델이며 화면 사이즈가 커져서 10인치대 인강 등 동영상 시청에 좋다고 하네요.

신반포역 근처에서 직거래 우선 합니다
감사합니다

제품관련 리뷰글. 참고하시길 
https://m.blog.naver.com/thwnd20/222273541671",서울 서초구 반포본동,"500,000원"
18,아쉽지만 처분합니다... #아이패드 #에어4 #거의새삥 #i pad #air4 #스그,"작년 11월 구매했는데 카트라이더 하려고 샀다가 일이 바빠 방구석 방치만 하게되어 처분합니다 ㅠㅠ
64기가 wifi 스그색상 입니다
11월에 구매했지만 실 사용시간 거의 없고
★흔한 생활기스조차 없습니다★
나오자마자 필름 붙이고 애지중지 몇번만 썼습니다 외출 한번도 안했구요...
거래하시면
아이패드 박스(풀박스)
파우치 (4만원상당)
종이질감필름 여유분 1장(가격 꽤됨)
실리콘케이스(1만원 전후)
다 드립니다.
쪽지 주세요",인천 미추홀구 숭의동,"610,000원"
19,아이패드 에어 4세대 WIFI 64G 실버 MYFN2KH/A iPad Air 4th Generation,"안녕하세요. 
이번에 아이패드 프로 M1 제품 예약신청해서, 기존 아이패드 판매합니다.
아이패드 에어 4세대 WIFI 64G 실버 MYFN2KH/A
2020.11.27 신세계몰에서 구매한 후 후면 보호필름, 전면 강화유리 부착했고, 실리콘 케이스에 장착하여 조심히 사용했습니다. 덮개 있는 케이스도 같이 드립니다(펜슬수납가능)
박스 포함해서 구성품 그대로 있습니다. 사진 찍어서 첨부하였습니다. 
주안역/도화역 인근 직거래 희망합니다.",인천 미추홀구 도화1동,"600,000원"
20,아이패드4 Wifi 아이패드4세대 아이패드레티나,"아이패드4 아이패드4세대 레티나디스플레이 16기가 wifi
미국에서 책볼때만 쓰던거라 사용감 많이없습니다
아이들 영상이나 기타용도로 쓰시면 무난하실겁니다 잔상없음
항상 커버 끼웠어서 커버링상태로 드릴게요
돼지코는 검정색으로 하나 드리니 쓰세요~",경기도 용인시 기흥구 상갈동,"125,000원"
21,아이패드 키보드 케이스. 아이패드 케이스 12.9,"기능 하자 없습니다
사용은 한 1년정도 한 것 같아요

터치패드있는 케이스로 갈아타서 판매합니다.

12.9 모델",경기도 광주시 역동,"90,000원"
22,아이패드 에어3 케이스 (아이패드 프로2 10.5케이스),"🥕”CU연대서문점”에서 거래합니다. 장소 확인하시고 괜찮은 분만 채팅 부탁드립니다.

한 달 정도 집에서 사용한 케이스입니다. 사용감은 조금 있어요. 스티커의 경우 붙이기 전에도 오염은 없었기에 구매의사 있으시면 떼어 보여드릴 수 있습니다. 보라색이라 예뻐요!",서울 서대문구 연희동,"5,000원"
23,iPad pro 아이패드 프로 11형(2세대) 128기가 wifi 실버,"구매한지 약 6개월 박풀
스마트폴리오 검정색 포함 박풀
애플펜슬 2세대 박풀
유튜브 정도 봐서 깨끗합니다",서울 용산구 이촌동,"850,000원"
24,아이패드 에어2 킥스탠드 케이스(ipad air 2 kickstand case) 새상품 아마존 직구,"예전에 미국살때 킥스탠드 스타일 케이스가 편했던 기억에 새로운 아이패드 사면서 아마존 직구를 했는데요 (한국에선 못찾겠어서)
오늘 배송받았는데 아이패드 에어 2 케이스로 잘못 주문했었네요 ㅠㅠ (제껀 아이패드 에어 4)

5.13 아마존 주문하여 5.20 오늘 배송받았습니다(일자 아마존 화면 및 배송문자 캡쳐하여 첨부)
배송비까지 24.26불 냈었어요 (오늘 환율 1130원으로 계산시 27400원)

아이패드 에어 2  케이스(ipad air 2 case) 필요하신분 연락주세요 ^^",경기도 김포시 운양동,"15,000원"
25,아이패드 프로 2세대 12.9 64G(wife)+아이패드 케이스+보호필름+애플펜슬 1세대+애플펜슬 스킨,"사용감 있습니다 ! 찍힘 몇군데 있습니다 .
하지만 정작 사용은 별로 안해서
들고 있을 필요가 없을 것 같아서 내놓습니다 ~
배터리 사용감은 지금 제가 확인을 못해서
첨부를 못했습니다 ~ 부산 전 지역 직거래 가능해요 ! 
연락 주세요 !",부산 수영구 망미동,"600,000원"
26,von Holzhausen The iPad Portfolio (12.9형) 아이패드 프로 케이스 팝니다,"von Holzhausen The iPad Portfolio (12.9형 iPad Pro) 아이패드 프로 케이스 팝니다
실사용 1회 후 사용을 안하게 되어 판매합니다",경기도 화성시 청계동,"70,000원"
27,(미개봉)아이패드 에어4 64G 스페이스 그레이 Wi-Fi 모델 + 아이패드 스마트 폴리오 딥 네이비,"아이패드 직거래로 판매합니다.

미개봉 제품으로 교환, 환불 불가하니 알고계셔주세요.

대구 지역 직거래만 가능합니다.",대구 달서구 도원동,"700,000원"
28,인강용 레티나 ipad 아이패드 미니2 32G silver 상태 SA급 매우 좋음 풀박스,"대학원때 구매했던 아이패드 미니2 32기가 와이파이
모델 내놓습니다
현재 네이버에서 인강용 s급으로 
16기가 19만원
32기가 23만원

판매중이네요
실제 사용은 거의 잘 안한 제품이며
상태 매우 좋아요 박스 그대로 있습니다

기기 본체 + 박스 
(충전기 미포함)

함께 사용했던 온오프기능(?) 골드 커버도 있는데 원하시면 드림



##### 입금 예약 거래 합니다. 🤝 입금확인 후 거래 진행 할게요. 무분별한 네고는 사양하겠습니다. 궁금하신 점은 톡 주십시오.",대전 유성구 봉명동,"180,000원"
29,아이패드 6세대 셀룰러 + 와이파이 32GB + 애플펜슬 1세대 + 케이스 + 펜슬케이스 + 정품 아이패드 충전기,"직거래는 박애병원이나 평택역에서 가능하고
박스는 이사하면서 버려서 없어요ㅜ
넷플용으로만 쓰고 필요없어서 팝니다
상태 좋습니다 앞이랑 뒤랑 기스 안나게 필름 붙여놨고 
색상은 로즈골드입니다

일괄로 판매합니다!
쿨거시 에눌 가능~",경기도 평택시 평택동,"450,000원"
30,"애플 스마트 키보드 폴리오 (아이패드 프로 3세대 11형, 아이패드 에어 호환 가능)","풀박스입니다.
많이 사용안했고 상태 괜찮습니다.",대전 서구 내동,"180,000원"
31,아이패드 케이스 / 아이패드 파우치,"💝성남우체국 청구아파트 세이브존 직거래💝

1. 기종 아이패드 에어 4
2. 새 상품",경기도 성남시 수정구 신흥동,"15,000원"
32,아이패드 iPad Pro 11 케이스 새상품,"아이패드 11인치 케이스입니다.
3가지 색상이고 새 제품 몇개 있어요.
택배2천원추가.",경기도 하남시 풍산동,"3,000원"
33,i pad 아이패드 4세대 wifi A1458 판매합니다,"예전에 쓰던 상품이라 생활 기스가 좀 있습니다.
상품 상태는 사진6~10까지 기스, 파인 부분 자세히 사진 찍어서 올립니다. 
영상 보는데에는 스크래치가 신경쓰일 정도는 아닙니다.
초기화까지 다 해놓은 상태라 바로 사용하실 수 있습니다.
넷플릭스나 유튜브 등 동영상 강의 볼 때 유용하게 사용 하실 수 있습니다. 
아이패드 충전기도 같이 드립니다. 

중고, 상태 감안해서 9만원에 올립니다.
• 쿨거래시 5000원 빼드릴게요.
• 거래장소는 선릉역, 한티역 선호합니다.

중고거래 특성상 교환 환불은 불가능합니다. 
신중하게 생각하시고 채팅걸어주시면 감사하겠습니다.

글 읽어주셔서 감사합니다!",서울 강남구 대치4동,"90,000원"
34,아이패드 에어4(iPad air4) 64G 판매 wifi,"미개봉아닙니다.
필름 부착되어있습니다.
애플케어 미가입입니다.
사진에서 보실 수 있다시피 배터리상태는 100프로입니다.

구성품 전부 들어있으며 케이블은 미사용, 어댑터만 사용했습니다.

눈에 띄는 생활 기스 없습니다만,
아무래도 올해 1월 구매 후 약 4~5개월 사용한 제품이라 케이스 갈아끼우면서 기스가 있다고 판단하실 수도 있습니다.

상태 정말로 깨끗합니다. 다만 먼지만해서 찾으려고해야 찾아지는 기스가 있다면 사진까지 첨부하기 어렵기에 거래시에 확인해보시길 바랍니다.

네고는 어렵고, 쿨거래 희망합니다.",인천 서구 당하동,"570,000원"
35,애플 아이패드 11형 스마트 키보드 폴리오 ipad,"2020년 2월에 구매
시착만 해본 상태 그대로 새것과 다름 없습니다. 

에누리 안됩니다. 
사실분만 연락주세요 ~",경기도 고양시 덕양구 도내동,"170,000원"
36,아이패드 6세대 32기가 wifi 로즈골드 풀박스 apple ipad 6th 팝니다.,"아이패드 6세대 32기가 wifi 로즈골드 풀박스 apple ipad 6th 팝니다.

​구매하자마자 액정보호필름 후면 보호필름 붙여서 사용
패드가 여러개라 사용을 안해서 팝니다.
구성은 사진에 나온대로 입니다. (사진에 나온 액보쉴드는 없음)
애플코리아 정품 (박스 + 정품 충전기 + 정품 케이블)
추가로, 8핀 케이블2개, 9H액정필름, 케이스, 파우치, 터치펜2, 이어폰줄감개 드립니다.

​직거래시 서울은 1호선 ""독산역"", ""금천구청역"", ""가산디지털역"" 원합니다.
택배거래도 하지만 직거래를 선호합니다.

​문자 : ***-****-****​
카톡 : ****

​감사합니다.",서울 금천구 독산동,"280,000원"
37,아이패드파우치 아이패드,아이패드파우치에여 큰거작은거 다들어가고 아이패드팔아서 같이팔아여,경기도 의정부시 의정부2동,"8,000원"
38,"아이패드 에어 1,iPad Air 1, 9.7인치,셀룰러,Cellular,A1475,32GB,32기가","안녕하십니까?
아이패드 에어 1,iPad Air 1, 9.7인치,셀룰러,Cellular,A1475,32GB,32기가 판매합니다.
(오른쪽 아랫부분에 Nano SIM 나노 심 트레이 있음)
-RAM:1GB
-내부저장용량:32GB
-버튼등 기능 이상 없습니다.
-전면 액정에 기스 없습니다.
-새 액정보호필름 붙어 있어서 깨끗합니다.
-후면과 모서리등 크게 파손되거나 큰 기스없이 
-전체적으로 외관 상태 양호합니다.
-미사용 스마트 하드 보호케이스 1개(색상:블랙,전원 ON,OFF 기능됩니다.)
-최초 구입시 보호박스
-기기 단품입니다.
판매가격:140,000원
연락처:010-3692-8464(채팅은 무음이라서 제때 확인이 어려우니 문자로 부탁합니다.)
^^감사합니다.",제주 제주시 삼도1동,"140,000원"
39,Twelve south Compass Pro for  ipad Pro 아이패드프로 거치대,"Twelve south Compass Pro for  ipad Pro 
아이패드프로 거치대 입니다~12.9 완벽 지원
쿠팡에서 주문한 직구상품 입니다~
3주 기다렸습니다~(10만원)
상태:9.9/10",서울 서초구 방배동,"70,000원"
40,애플 아이패드 스마트 키보드 아이패드7세대 전용,"아이패드 스마트 키보드 판매 합니다
올해초 평택역 ak프라자 넵튠에서 199,000원 정가 구매 했습니다
아이패드 사용 안해서 풀박스 풀구성 하자 없습니다",경기도 평택시 장당동,"150,000원"
41,"""애플 아이패드 프로"" iPad Pro (12.9형) 3세대 판매합니다.","iPad Pro (12.9형) 3세대 
Wi-Fi + 셀룰러 
256GB 
실버
모델번호 MTJ62KH/A

아이패드 프로 3세대 12.9인치 + 애플펜슬 (2세대) 1개 + 정품케이스(화이트) 1개

애플스토어에서 구매했고, 박스도 모두 보관중입니다. 
스크래치 없이 깨끗합니다.",경기도 남양주시 와부읍,"1,200,000원"
42,ipad pro 아이패드 프로 3세대 11인치 256G wifi + 애플펜슬 2세대 + 애플펜슬리필 + 무선키보드,"- 구성품
1.아이패드 프로 3세대 11인치 256G wifi 스페이스그레이
2. 애플펜슬 2세대
3. 애플펜슬팁 리필3개 
4. 로지텍 무선 키보드 
5. 아이패드 케이스

구매일자 19년 2월입니다.
애플케어 보증은 만료된 상태에요. 

구입 후 집에서만 사용했습니다. 
이사할때 박스가 분실되어서 박스는 없네요ㅠ
필름은 종이질감 필름 부착되어있습니다. 
애플 펜슬 펜팁 정품 구매한거 3개 같이 드려요. 
로지텍 무선 키보드도 정품이고 호환상태 아주 좋아요. 

직거래 선호합니다. (전자기기라 되도록 직거래요) 
2호선 강남역 / 7호선 논현역 / 9호선 신논현역 
가능합니다.",서울 서초구 서초동,"750,000원"
43,"iPad용 Magic Keyboard(11인치 iPad Pro, 4세대 iPad Air 전용)","아이패드용 매직키보드 내놓습니다.
주로 애플펜슬로 그림그리는게 목적이라서 잘 안쓰게 되더군요 ㅠ
상태는 생활기스 좀 있습니다.",경북 김천시 율곡동,"300,000원"
44,아이패드 프로 3세대 256GB Wi-Fi + 아이패드 프로 스마트 폴리오 키보드 풀박스 판매합니다.,"작년 3/1 일날 구매한 제품이고 아이패드 하단 살짝 찍힌자국 하나 생활기스 조금있습니다(사진 참고부탁드립니다)

아이패드에 종이질감필름 붙어져있고 후면카메라 보호스티커 붙여져 있습니다.
(휨현상 없습니다)
(배터리효율 92%입니다)

스마트폴리오 키보드는 겉면에 사용감 조금있습니다.

고가인 제품이어서 공항동직거래만 합니다.

편하게 채팅 주세요 :)",서울 강서구 공항동,"750,000원"
45,아이패드6세대(로즈골드) + 로지텍 K380 + 아이패드 케이스,아이패드6세대(로즈골드) + 로지텍 K380 + 아이패드 케이스  구매한건 1년좀 넘지만 실제 사용은 몇번 안됩니다 상태 깨끗하고 생활 기스도 심한편아닙니다. 궁금하시면 더 자세하게 사진 보내드립니다 쿨거시 에눌 해드립니다.,경기도 화성시 기안동,"300,000원"
46,11인치 아이패드 3세대 키보드 폴리오 iPad Pro용 Smart Keyboard Folio,"2020년 3월 1일에 구매한 아이패드 3세대 키보드 입니다
앞면에 스티커 자국과 조금한 기포있으니 확인 해주세요",전남 순천시 매곡동,"180,000원"
47,[아이패드]10.2 7TH IPad Wi-FI 32GB(스마트 키보드 포함),"2020년 06월 28일 구매 실사용 거의 없음, 방치 후 그냥 쓸 일이 없어 파는 것(실물 보시고 구매 결정하셔도 됩니다.)

구매금액 648,000원 스마트 키보드 포함된 가격

영수증도 드립니다. 

갤러리아 근처에서 실거래 원함",대전 서구 둔산2동,"380,000원"
48,아이패드 미니4 라이노 글래스프로 보호필름 (iPAD GLASS screen protector),"구매일자는 모르겠습니다.
제목 그대로 아이패드 미니4 필름인듯해요.
비싸게 사지마시고 당근해서 싸게 쓰세요:)

* 거래 후 환불안돼요
* 개봉안한거라 실물 보여드리기는 힘듭니다:)",강원도 원주시 단계동,"3,000원"
49,아이패드 레티나 4   16g 팝니다. Ipad 4 retina,"아이패드 레티나 4  Wifi+ Cellular 16gb 팝니다.
배터리 상태는 여전히 매우 좋습니다.  대기 모드 1주.",경기도 수원시 영통구 광교1동,"70,000원"
50,아이패드 3세대 뉴아이패드 a1416,"오래된 아이패드 32gb입니다.
스크린은 깨끗하고 뒷면은 생활기스 있습니가.
구매하시면 로지텍 블루투스 키보드랑 쥬시쿠튀르에서 구매한 아이패드파우치 함께 드려요~~~~",서울 광진구 화양동,"80,000원"
51,애플 정품 빈 박스 (맥북프로 아이패드미니 애플펜슬 애플워치 아이패드에어2),"애플 정품 빈 박스 (맥북프로 아이패드미니 애플펜슬 애플워치 아이패드에어2) 총5개

개당 1,000원이며
5개 일괄시 총 3,000원

* 반품 환불 불가",서울 강북구 인수동,"1,000원"
52,아이패드 아이패드프로 64기가 아이패드 노트북,인강용으로 사용했는데 64기가 와이파이 블랙이에요~ 기스전혀없고 엄청깨끗해요 ~~ 연락주세요},경남 창원시 마산회원구 내서읍,"195,000원"
53,아이패드 ipad air2 셀룰러+와이파이 64G 실버,"ipad air2 셀룰러+와이파이 64G 실버
판매합니다
업무용으로 사용해서 뒷면에 생활기스 는 있지만 액정에는 기스하나 없이 깔끔하구요
모서리에 작게 흠집난부분 사진으로 확인해주세요.
배터리효율 100 입니다. 사진으로 확인부탁드려요

역삼동에서 직거래합니다.",서울 강남구 역삼동,"215,000원"
54,"아이패드 프로 3세대 및 아이패드 에어 4세대 파우치, 매직 키보드 팝니다","👉🏻 파우치는 떨어트려도 괜찮을만큼 도톰하고 보호성이 좋아요 색깔도 노랑노랑하게 완전 예뻐요
👉🏻 사고 한 5번 썼어요
👉🏻 매직 키보드도 사고 한 5번 썼어요
👉🏻 둘 다 하자 없어요
👉🏻 마우스 대신 마우스 패드도 키보드에 장착 되어 있어요
👉🏻 따로 구매 할 시 파우치는 2만5천원 키보드는 32만원 이에요
👉🏻 궁금하신건 채팅 주세요 / 반품 안돼요
👉🏻 직거래만 합니다",대구 달서구 진천동,"340,000원"
55,"[새제품] iPad Air 아이패드 에어 4세대, 256GB, Wi-Fi, 스페이스 그레이","아이패드 에어 4세대 미개봉 새제품입니다.
(256GB, Wi-Fi 모델, 스페이스 그레이)

2021년 3월 말 쯤 구매한 제품이고,
사용하지 않게 돼서 판매합니다.

직거래는 신대방역, 신림역 근처에서 가능합니다.",서울 관악구 신사동,"830,000원"
56,"아이패드 미니 2, ipad mini 2, 32GB","상태 좋은 기기,,
관리 잘되어,,,새 제품 수준 입니다.
원박스,,같이 제공 합니다.",경기도 수원시 권선구 탑동,"80,000원"
57,아이패드 에어3 스그 64기가 와이파이+애플펜슬+아이패드 파우치+아이패드 케이스,작년 6~7월쯤 샀구 S급 상태예요 케이스에만 넣어두고 강화유리필름도 붙여놔서 너무 깨끗합니다! 아이패드를 선물받아 기존에 쓰던걸 처분하려고 해요,경기도 파주시 목동동,"530,000원"
58,[미개봉] 아이패드 에어 4세대 64GB 와이파이 팝니다(iPad Air 4th generation wi-fi),"제목대로 미개봉 아이패드 에어 4세대 와이파이 64GB판매합니다. 스페이스그레이색상입니다.

직거래 희망하며, 평일 저녁 or 주말에 용산구 도원동 거래 희망합니다. 장소 시간은 협의 가능하니 연락주시기 바랍니다.

감사합니다.",서울 용산구 도원동,"660,000원"
59,"ipad 2, 아이패드2, 64GB, 셀룰러","64GB, 셀룰러,wifi 겸용,,
당시 930,000원,,
최고 사양,,으로
상태 새제품 수준,,관리 기기 입니다.
바데리 수명 잔량80%.
전용 Case,  충전 Cable 같이 드려요.",경기도 수원시 권선구 탑동,"80,000원"
60,애플 아이패드프로12.9 셀룰러 4세대 미개봉 ipad pro,"한국 정발 4세대 12.9인치 미개봉
아이패드프로4 12.9 셀룰러 실버 128gb 미개봉",세종시  소담동,"1,180,000원"
61,상태 훌륭한 아이패드 iPad 6세대 32G Wifi 로즈골드 판매합니다,"아이패드 6세대 32G Wifi 로즈골드 입니다

케이스와 필름을 항상 사용하여 좋은 상태를 유지하고 있습니다. 기스나 찍힘은 딱히 보이지 않습니다.

인강, 유튜브, 넷플릭스 등 영상시청 용도로 사용하시거나, 저렴한 가격으로 아이패드에 입문하시기에 적절한 제품이 아닐까 싶습니다.


현재 힐링쉴드 사의 종이질감 필름이 부착되어 있습니다.
사진에 나오는 케이스와, 정품 충전기도 함께 드립니다. 박스는 아쉽게도 없네요.

바로 사용하실 수 있도록 기기 초기화 후 풀충전 해두었습니다.

2018년 9~10월 경 구입한 제품입니다.

오늘 거래하시면 10000원 빼드리겠습니다.

청량리 수산시장 앞 직거래 원합니다.",서울 성북구 안암동 고려대학교,"260,000원"
62,아이패드(ipad) 9.7 Smart cover 정품 팝니다,"아이패드(ipad) Smart cover 정품 팝니다
미사용으로 구입하고 장착 한번했습니다

#. 거래는 철산두산위브 정문, 판매후 물건에 큰 하자 없으면 환불은 불가합니다.",경기도 광명시 철산1동,"29,000원"
63,"아이패드 프로 11인치, 아이패드 프로 12.9인치로 교환","🍎 아이패드 프로 3세대(1세대)  11인치 
- 실버, 와이파이, 256GB 
- 배터리 효율 : 88% (사진첨부)
- 기스, 찍힘 X
- 박스 O, 충전기랑 스티커,c타입 단자는 X
- 원하신다면 에어팟 1세대 같이 드려요
- 케이스 (스마트 폴리오, 사진에 있는 케이스, 투명케이스)
- 파우치 2개 (사진첨부)
- 힐링쉴드 종이질감 필름부착, 스크래치 X

위 스펙으로 아이패드 프로 3,4세대 12.9인치, 실버, 와이파이, 256기가로 교환 원합니다

256기가 이상이면 추가금 10만원부터 드리겠습니다

12.9인치가 너무 커서 부담스러우신 분들은 꼭 연락주세요..! 애지중지 집에서만 영상보는 용도로 사용했습니다

신림역에서 거래 원합니다",서울 관악구 신림동,"100,000원"
